5395.000,94.076
9917.000,152.406
14263.000,151.374
18302.000,-75.605
23228.000,54.062
28349.000,48.251
32618.000,-50.417
38618.000,150.463
44539.000,-70.864
49539.000,-4.294
55275.000,74.427
60554.000,118.136
64974.000,-57.550
70394.000,-45.646
75552.000,150.546
81467.000,88.095
86842.000,-8.649
92018.000,56.132
97323.000,-88.424
102854.000,-36.409
108418.000,43.171
114228.000,109.122
119683.000,-71.385
124844.000,56.668
130844.000,135.857
136029.000,-42.131
141789.000,150.528
147312.000,-25.136
153032.000,45.988
158657.000,128.560
164057.000,98.865
169658.000,150.548
175345.000,150.329
179615.000,140.836
184781.000,116.354
190566.000,67.670
196206.000,143.731
201748.000,80.789
