247.000,15.200
483.000,19.000
800.000,27.400
1107.000,31.800
1460.000,53.200
1917.000,44.800
2208.000,50.600
2553.000,44.600
2927.000,47.200
3320.000,75.600
3923.000,112.200
4410.000,121.600
5106.000,128.200
5615.000,107.200
6162.000,110.000
7363.000,96.400
9013.000,248.400
11394.000,205.800
13385.000,219.000
16107.000,345.000
19023.000,262.800
21725.000,335.200
24409.000,310.600
27021.000,234.200
29264.000,270.200
31617.000,301.800
34173.000,350.600
37434.000,289.200
39947.000,279.800
42774.000,385.000
46206.000,423.800
49723.000,438.400
53168.000,454.600
55928.000,469.400
58771.000,437.600
62284.000,500.000
65579.000,500.000
